score,page,gt_x1,gt_y1,gt_x2,gt_y2,type,note
Sibelius-Violin_Concerto-Viola,page_001,3049,2266,3053,2373,複線統合,ダブルバー相方寄りの候補（表現差）
Sibelius-Violin_Concerto-Viola,page_004,2713,3166,2720,3274,複線統合,2本をまとめた候補（7px→18px）
Sibelius-Violin_Concerto-Viola,page_004,2724,3163,2729,3274,複線統合,2本をまとめた候補（5px→18px）
Sibelius-Violin_Concerto-Viola,page_004,2941,4088,2949,4195,幾何ミスマッチ,幅過大/縦過伸長（8px→27px）
Sibelius-Violin_Concerto-Viola,page_008,779,1732,783,1839,候補なし,候補未生成
Sibelius-Violin_Concerto-Viola,page_008,787,1732,791,1839,候補なし,候補未生成
Sibelius-Violin_Concerto-Viola,page_010,884,4065,888,4173,候補なし,候補未生成
Va_Prokofiev_Symphony1,page_001,839,3435,846,3538,候補なし,候補未生成
Va_Prokofiev_Symphony1,page_001,851,3434,856,3538,候補なし,候補未生成
Va_Prokofiev_Symphony1,page_006,3199,4102,3210,4207,複線統合,end bar周辺の複数候補で過幅側がbest化
Va__Prokofiev_Symphony5,page_003,601,451,609,563,候補なし,候補未生成
Va__Prokofiev_Symphony5,page_003,852,3864,861,3975,候補なし,候補未生成
Va__Prokofiev_Symphony5,page_008,906,910,910,1020,別線マッチ,右側別線へマッチ
Va__Prokofiev_Symphony5,page_015,909,2238,913,2346,別線マッチ,左側別線へマッチ
Va__Prokofiev_Symphony5,page_016,779,1802,783,1912,候補なし,候補未生成
